"","MH","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"MH",1,0.366510310178631,0.329041563892997,-0.248835849742026,-0.145026146362468,0.398580929836904,-0.430759814716926
"IB_S_Pos",0.366510310178631,1,0.39998520439654,-0.259524536830753,-0.000474321381671992,0.298218163954065,-0.279971890324175
"IB_N_Pos",0.329041563892997,0.39998520439654,1,-0.169182375196138,-0.190585693457483,0.212258205368195,-0.254999708226073
"IB_S_Neg",-0.248835849742026,-0.259524536830753,-0.169182375196138,1,0.507075922010243,-0.237326191541093,0.418677075959785
"IB_N_Neg",-0.145026146362468,-0.000474321381671992,-0.190585693457483,0.507075922010243,1,-0.150918114384583,0.238335753278553
"MB_Pos",0.398580929836904,0.298218163954065,0.212258205368195,-0.237326191541093,-0.150918114384583,1,-0.287859883194191
"MB_Neg",-0.430759814716926,-0.279971890324175,-0.254999708226073,0.418677075959785,0.238335753278553,-0.287859883194191,1
