"","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"IB_S_Pos",0,0.163552520314467,-0.127842297266695,0,0.217981366228742,-0.0866517007972829
"IB_N_Pos",0.163552520314467,0,0,-0.078370776094266,0.0686688833361204,-0.0805932229466303
"IB_S_Neg",-0.127842297266695,0,0,0.354594531166177,-0.0309371065113044,0.326575044522819
"IB_N_Neg",0,-0.078370776094266,0.354594531166177,0,0,0
"MB_Pos",0.217981366228742,0.0686688833361204,-0.0309371065113044,0,0,-0.159410498155867
"MB_Neg",-0.0866517007972829,-0.0805932229466303,0.326575044522819,0,-0.159410498155867,0
