"","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"IB_S_Pos",1,0.309471192020461,-0.318699101781386,-0.0432175851729683,0.372303948240885,-0.312161716375373
"IB_N_Pos",0.309471192020461,1,-0.12505682601562,-0.21067400331079,0.236581816284722,-0.246440523277426
"IB_S_Neg",-0.318699101781386,-0.12505682601562,1,0.483779374463628,-0.250227375893738,0.487351665134513
"IB_N_Neg",-0.0432175851729683,-0.21067400331079,0.483779374463628,1,-0.162472344798108,0.203912946256833
"MB_Pos",0.372303948240885,0.236581816284722,-0.250227375893738,-0.162472344798108,1,-0.331913020995466
"MB_Neg",-0.312161716375373,-0.246440523277426,0.487351665134513,0.203912946256833,-0.331913020995466,1
