"","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"IB_S_Pos",1,0.338235493496418,-0.172420699470185,0.0698930113212784,0.182483436845402,0.0474048138041974
"IB_N_Pos",0.338235493496418,1,-0.233561673410222,-0.133823677507754,0.101689208036043,-0.10444759087932
"IB_S_Neg",-0.172420699470185,-0.233561673410222,1,0.462196922208112,-0.199929839586375,0.291729413001679
"IB_N_Neg",0.0698930113212784,-0.133823677507754,0.462196922208112,1,-0.107660049472367,0.249203300448197
"MB_Pos",0.182483436845402,0.101689208036043,-0.199929839586375,-0.107660049472367,1,-0.02064001219398
"MB_Neg",0.0474048138041974,-0.10444759087932,0.291729413001679,0.249203300448197,-0.02064001219398,1
